[2026-05-20T19:14:31.681Z] REALRAG_R3B_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=2000 conditions=bm25_top10,bge_rerank_top10,oracle_first,no_support
[2026-05-20T19:14:32.169Z] rerank_scores_loaded path=/home/aya/implante/research/turboquant-cuda-bench/bench/evidence-utilization-realrag-2wiki-r3g-natural-retrieval-2026-05-20/bge-rerank-scores.json selected=2000
[2026-05-20T19:18:00.179Z] progress completed=1500/8000 last=c99fc05e0bd911eba7f7acde48001122/oracle_first closure=1
[2026-05-20T19:18:14.892Z] progress completed=1600/8000 last=0a65b7300bb011ebab90acde48001122/no_support closure=0
[2026-05-20T19:18:29.274Z] progress completed=1700/8000 last=1b36c01f08df11ebbd9fac1f6bf848b6/no_support closure=0
[2026-05-20T19:18:44.336Z] progress completed=1800/8000 last=0a576b1b08ab11ebbd81ac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:18:59.323Z] progress completed=1900/8000 last=9397dcc008dd11ebbd9dac1f6bf848b6/no_support closure=0
[2026-05-20T19:19:14.874Z] progress completed=2000/8000 last=a380ab7c08b911ebbd88ac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:19:27.680Z] progress completed=2100/8000 last=f1e8165c0bdd11eba7f7acde48001122/oracle_first closure=0
[2026-05-20T19:19:40.136Z] progress completed=2200/8000 last=d95c3cf0089311ebbd75ac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:19:53.767Z] progress completed=2300/8000 last=f4a23ee7088f11ebbd72ac1f6bf848b6/no_support closure=0
[2026-05-20T19:20:08.389Z] progress completed=2400/8000 last=5119254208ac11ebbd82ac1f6bf848b6/no_support closure=0
[2026-05-20T19:20:21.450Z] progress completed=2500/8000 last=0d118fb00bdb11eba7f7acde48001122/bm25_top10 closure=0
[2026-05-20T19:20:33.534Z] progress completed=2600/8000 last=6352d6c208d111ebbd95ac1f6bf848b6/no_support closure=0
[2026-05-20T19:20:46.722Z] progress completed=2700/8000 last=a717ab6a0bdd11eba7f7acde48001122/bm25_top10 closure=1
[2026-05-20T19:21:03.111Z] progress completed=2800/8000 last=ba27f3860bdd11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:21:17.800Z] progress completed=2900/8000 last=214beb5e0bb011ebab90acde48001122/no_support closure=0
[2026-05-20T19:21:33.405Z] progress completed=3000/8000 last=8ce6e92608c311ebbd8dac1f6bf848b6/no_support closure=0
[2026-05-20T19:21:47.262Z] progress completed=3100/8000 last=f481a5960bdc11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:22:01.543Z] progress completed=3200/8000 last=c51085b60baf11ebab90acde48001122/bm25_top10 closure=0
[2026-05-20T19:22:17.002Z] progress completed=3300/8000 last=0b827c3a0bdc11eba7f7acde48001122/oracle_first closure=1
[2026-05-20T19:22:29.352Z] progress completed=3400/8000 last=23f41cf20bdb11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:22:42.614Z] progress completed=3500/8000 last=e6e6fe080bdd11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:22:57.806Z] progress completed=3600/8000 last=0e7078b00bb011ebab90acde48001122/no_support closure=0
[2026-05-20T19:23:12.439Z] progress completed=3700/8000 last=315872d20bde11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:23:26.032Z] progress completed=3800/8000 last=9e2fc7ef08c711ebbd91ac1f6bf848b6/no_support closure=0
[2026-05-20T19:23:40.109Z] progress completed=3900/8000 last=7a51eb9208ac11ebbd83ac1f6bf848b6/no_support closure=0
[2026-05-20T19:23:54.726Z] progress completed=4000/8000 last=ae2d8fc308be11ebbd8aac1f6bf848b6/no_support closure=0
[2026-05-20T19:24:07.065Z] progress completed=4100/8000 last=cc66e2500bdd11eba7f7acde48001122/oracle_first closure=1
[2026-05-20T19:24:22.218Z] progress completed=4200/8000 last=fc50265e0bae11ebab90acde48001122/no_support closure=0
[2026-05-20T19:24:36.241Z] progress completed=4300/8000 last=e60a895208b611ebbd88ac1f6bf848b6/no_support closure=0
[2026-05-20T19:24:49.356Z] progress completed=4400/8000 last=75ff06ec08d911ebbd9cac1f6bf848b6/oracle_first closure=0
[2026-05-20T19:25:03.469Z] progress completed=4500/8000 last=704c7d820bdc11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:25:17.105Z] progress completed=4600/8000 last=c26c16b5086611ebbd5eac1f6bf848b6/oracle_first closure=0
[2026-05-20T19:25:30.088Z] progress completed=4700/8000 last=131a6988086411ebbd5eac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:25:44.460Z] progress completed=4800/8000 last=9523a3df088911ebbd6eac1f6bf848b6/no_support closure=0
[2026-05-20T19:25:58.403Z] progress completed=4900/8000 last=4b37342c0bde11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:26:12.913Z] progress completed=5000/8000 last=57eb21ba0bde11eba7f7acde48001122/bm25_top10 closure=1
[2026-05-20T19:26:26.561Z] progress completed=5100/8000 last=69b0104a0bd911eba7f7acde48001122/oracle_first closure=1
[2026-05-20T19:26:39.321Z] progress completed=5200/8000 last=9ab933f20bdd11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:26:53.682Z] progress completed=5300/8000 last=a3ac1ca20bda11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:27:09.174Z] progress completed=5400/8000 last=dfe5c5e8088211ebbd6dac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:27:24.524Z] progress completed=5500/8000 last=eb602e7508d011ebbd95ac1f6bf848b6/oracle_first closure=0
[2026-05-20T19:27:37.786Z] progress completed=5600/8000 last=2cc66d74089011ebbd72ac1f6bf848b6/no_support closure=0
[2026-05-20T19:27:52.682Z] progress completed=5700/8000 last=68ce437408df11ebbda0ac1f6bf848b6/no_support closure=1
[2026-05-20T19:28:08.824Z] progress completed=5800/8000 last=79d5a8180bd911eba7f7acde48001122/bm25_top10 closure=1
[2026-05-20T19:28:22.518Z] progress completed=5900/8000 last=e1d2c3a708af11ebbd83ac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:28:35.368Z] progress completed=6000/8000 last=d2ecc4c1088911ebbd6eac1f6bf848b6/bm25_top10 closure=0
[2026-05-20T19:28:49.380Z] progress completed=6100/8000 last=abd867e6091a11ebbdaeac1f6bf848b6/no_support closure=1
[2026-05-20T19:29:04.353Z] progress completed=6200/8000 last=f742206e0bda11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:29:19.736Z] progress completed=6300/8000 last=17cf260e097811ebbdb0ac1f6bf848b6/bm25_top10 closure=0
[2026-05-20T19:29:32.314Z] progress completed=6400/8000 last=bc8ea532086711ebbd5eac1f6bf848b6/no_support closure=0
[2026-05-20T19:29:44.312Z] progress completed=6500/8000 last=fa08f65f08b911ebbd88ac1f6bf848b6/no_support closure=0
[2026-05-20T19:29:59.027Z] progress completed=6600/8000 last=881a5f1a0bdc11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:30:14.517Z] progress completed=6700/8000 last=0c49b61808c811ebbd91ac1f6bf848b6/oracle_first closure=1
[2026-05-20T19:30:27.695Z] progress completed=6800/8000 last=beb3132e08d411ebbd97ac1f6bf848b6/no_support closure=0
[2026-05-20T19:30:40.650Z] progress completed=6900/8000 last=47431af40baf11ebab90acde48001122/no_support closure=0
[2026-05-20T19:30:55.781Z] progress completed=7000/8000 last=8d3f96db095a11ebbdaeac1f6bf848b6/no_support closure=0
[2026-05-20T19:31:10.983Z] progress completed=7100/8000 last=9a6007700bdb11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:31:25.185Z] progress completed=7200/8000 last=7115fe9e0bde11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:31:39.713Z] progress completed=7300/8000 last=d5cee073085911ebbd5bac1f6bf848b6/no_support closure=0
[2026-05-20T19:31:53.867Z] progress completed=7400/8000 last=0899a4880bde11eba7f7acde48001122/bm25_top10 closure=0
[2026-05-20T19:32:07.884Z] progress completed=7500/8000 last=0941e98b08b511ebbd88ac1f6bf848b6/oracle_first closure=0
[2026-05-20T19:32:22.483Z] progress completed=7600/8000 last=602729aa0bde11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:32:35.615Z] progress completed=7700/8000 last=696ef1dc0bde11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:32:49.718Z] progress completed=7800/8000 last=3628bb480baf11ebab90acde48001122/no_support closure=0
[2026-05-20T19:33:04.088Z] progress completed=7900/8000 last=7c798d620bdb11eba7f7acde48001122/no_support closure=0
[2026-05-20T19:33:20.132Z] progress completed=8000/8000 last=617302ea0baf11ebab90acde48001122/no_support closure=0
[2026-05-20T19:33:20.510Z] REALRAG_R3B_DONE completed=8000/8000
