[2026-05-20T16:08:36.900Z] REALRAG_R3B_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=2000 conditions=bm25_top10,bge_rerank_top10,oracle_first,no_support
[2026-05-20T16:08:37.322Z] rerank_scores_loaded path=/home/aya/implante/research/turboquant-cuda-bench/bench/evidence-utilization-realrag-hotpotqa-r3b-natural-retrieval-2026-05-20/bge-rerank-scores.json selected=1991
[2026-05-20T16:19:38.336Z] progress completed=3700/7964 last=5adfa12c554299025d62a301/no_support closure=0
[2026-05-20T16:19:55.578Z] progress completed=3800/7964 last=5ab5d27a554299494045f073/no_support closure=0
[2026-05-20T16:20:13.404Z] progress completed=3900/7964 last=5ac1a2f755429964131be258/no_support closure=0
[2026-05-20T16:20:30.573Z] progress completed=4000/7964 last=5abb8e2d554299642a094aa4/no_support closure=0
[2026-05-20T16:20:47.502Z] progress completed=4100/7964 last=5ae6e36155429908198fa6d3/no_support closure=0
[2026-05-20T16:21:05.836Z] progress completed=4200/7964 last=5adbf44355429944faac23ce/no_support closure=0
[2026-05-20T16:21:25.383Z] progress completed=4300/7964 last=5a8f0a01554299458435d539/no_support closure=0
[2026-05-20T16:21:43.047Z] progress completed=4400/7964 last=5ab8627f5542990e739ec8da/oracle_first closure=0
[2026-05-20T16:22:01.537Z] progress completed=4500/7964 last=5a79c8fa5542994bb94570a1/oracle_first closure=1
[2026-05-20T16:22:19.805Z] progress completed=4600/7964 last=5a7ab1b055429927d897bef4/oracle_first closure=1
[2026-05-20T16:22:36.503Z] progress completed=4700/7964 last=5adc7f4a5542994650320d28/no_support closure=0
[2026-05-20T16:22:54.124Z] progress completed=4800/7964 last=5ab9d7e4554299232ef4a21f/no_support closure=0
[2026-05-20T16:23:12.987Z] progress completed=4900/7964 last=5adbfbd555429947ff173893/no_support closure=0
[2026-05-20T16:23:30.496Z] progress completed=5000/7964 last=5ab7f7465542993667794071/no_support closure=0
[2026-05-20T16:23:48.725Z] progress completed=5100/7964 last=5ade15ae5542990dbb2f7f4c/no_support closure=0
[2026-05-20T16:24:06.421Z] progress completed=5200/7964 last=5a888d535542997e5c09a617/no_support closure=0
[2026-05-20T16:24:23.588Z] progress completed=5300/7964 last=5ae24b165542996483e64962/no_support closure=0
[2026-05-20T16:24:40.224Z] progress completed=5400/7964 last=5ac173d85542994d76dcce37/no_support closure=0
[2026-05-20T16:25:00.138Z] progress completed=5500/7964 last=5ae346365542991a06ce9985/no_support closure=0
[2026-05-20T16:25:19.827Z] progress completed=5600/7964 last=5ab9d02155429970cfb8ebb0/no_support closure=0
[2026-05-20T16:25:38.913Z] progress completed=5700/7964 last=5ac007cc5542996f0d89cb0b/no_support closure=0
[2026-05-20T16:25:57.198Z] progress completed=5800/7964 last=5abc6d14554299700f9d78bf/no_support closure=0
[2026-05-20T16:26:15.133Z] progress completed=5900/7964 last=5a7618d85542994ccc9186cf/bm25_top10 closure=0
[2026-05-20T16:26:32.741Z] progress completed=6000/7964 last=5abd6db755429933744ab7d0/no_support closure=0
[2026-05-20T16:26:50.128Z] progress completed=6100/7964 last=5ac1c9a15542994ab5c67e1c/no_support closure=0
[2026-05-20T16:27:09.702Z] progress completed=6200/7964 last=5a7c66d555429935c91b518f/no_support closure=0
[2026-05-20T16:27:28.918Z] progress completed=6300/7964 last=5adcceda5542990d50227d31/no_support closure=0
[2026-05-20T16:27:46.039Z] progress completed=6400/7964 last=5a7774e155429967ab10518d/no_support closure=0
[2026-05-20T16:28:04.427Z] progress completed=6500/7964 last=5a7b5af7554299042af8f752/no_support closure=0
[2026-05-20T16:28:23.070Z] progress completed=6600/7964 last=5a7c988755429935c91b524d/bm25_top10 closure=0
[2026-05-20T16:28:40.493Z] progress completed=6700/7964 last=5a8ba92c554299240d9c2071/no_support closure=1
[2026-05-20T16:28:59.637Z] progress completed=6800/7964 last=5a72abb95542992359bc3162/no_support closure=1
[2026-05-20T16:29:18.011Z] progress completed=6900/7964 last=5ae6368a5542992ae0d16284/bm25_top10 closure=0
[2026-05-20T16:29:35.155Z] progress completed=7000/7964 last=5ab811e95542995dae37ea22/no_support closure=0
[2026-05-20T16:29:52.227Z] progress completed=7100/7964 last=5a843de75542992ef85e23b4/no_support closure=0
[2026-05-20T16:30:10.675Z] progress completed=7200/7964 last=5ab997ad554299131ca4238c/no_support closure=0
[2026-05-20T16:30:28.406Z] progress completed=7300/7964 last=5a7a27b35542996a35c1710b/no_support closure=0
[2026-05-20T16:30:45.507Z] progress completed=7400/7964 last=5a8e0a005542995085b373a1/oracle_first closure=1
[2026-05-20T16:31:04.449Z] progress completed=7500/7964 last=5ae198bf5542997b2ef7d20d/no_support closure=0
[2026-05-20T16:31:22.622Z] progress completed=7600/7964 last=5a87aa135542996e4f3088b8/no_support closure=0
[2026-05-20T16:31:39.673Z] progress completed=7700/7964 last=5a848a685542997b5ce3feae/no_support closure=0
[2026-05-20T16:31:59.439Z] progress completed=7800/7964 last=5ae52c0f5542992663a4f12e/no_support closure=1
[2026-05-20T16:32:17.828Z] progress completed=7900/7964 last=5a7dc2185542990b8f503a7b/no_support closure=0
[2026-05-20T16:32:29.022Z] progress completed=7964/7964 last=5a84cf175542992a431d1aa2/no_support closure=0
[2026-05-20T16:32:29.365Z] REALRAG_R3B_DONE completed=7964/7964
