[2026-05-19T23:54:25-03:00] launching RealRAG HotpotQA R1 FULL dev run
[2026-05-20T02:54:25.523Z] REALRAG_R1_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=7405 concurrency=2
[2026-05-20T02:54:26.149Z] dataset_loaded records=7405 sha256=4e9ecb5c8d3b719f624d66b60f8d56bf227f03914f5f0753d6fa1b359d7104ea
[2026-05-20T03:00:14.892Z] progress completed=2000/36920 last=5ac508205542994611c8b32e/no_support closure=0
[2026-05-20T03:00:30.449Z] progress completed=2100/36920 last=5ab82d345542990e739ec854/no_support closure=0
[2026-05-20T03:00:46.993Z] progress completed=2200/36920 last=5ade157e55429939a52fe802/no_support closure=0
[2026-05-20T03:01:04.228Z] progress completed=2300/36920 last=5ae824295542997ec272772f/no_support closure=0
[2026-05-20T03:01:22.284Z] progress completed=2400/36920 last=5a8a6a2155429930ff3c0dd0/no_support closure=0
[2026-05-20T03:01:38.156Z] progress completed=2500/36920 last=5a84fd085542994c784ddaba/distractor_first closure=0
[2026-05-20T03:01:56.188Z] progress completed=2600/36920 last=5a835e215542992ef85e2296/oracle_first closure=0
[2026-05-20T03:02:13.499Z] progress completed=2700/36920 last=5a78a84d554299148911f8fd/no_support closure=0
[2026-05-20T03:02:30.266Z] progress completed=2800/36920 last=5add3acb5542990dbb2f7ddc/no_support closure=0
[2026-05-20T03:02:46.059Z] progress completed=2900/36920 last=5ae7690c5542995703ce8c22/no_support closure=0
[2026-05-20T03:03:04.356Z] progress completed=3000/36920 last=5ade03c65542990dbb2f7f2e/no_support closure=0
[2026-05-20T03:03:22.027Z] progress completed=3100/36920 last=5adf9d135542995534e8c817/no_support closure=0
[2026-05-20T03:03:38.598Z] progress completed=3200/36920 last=5a83880e554299123d8c214e/oracle_first closure=0
[2026-05-20T03:03:54.678Z] progress completed=3300/36920 last=5a8a07725542992d82986e5b/oracle_first closure=0
[2026-05-20T03:04:12.996Z] progress completed=3400/36920 last=5a81a4335542990a1d231e38/no_support closure=1
[2026-05-20T03:04:29.855Z] progress completed=3500/36920 last=5a7dafe15542991319bc93f3/no_support closure=0
[2026-05-20T03:04:47.015Z] progress completed=3600/36920 last=5ae45adc55429970de88d93f/no_support closure=0
[2026-05-20T03:05:06.117Z] progress completed=3700/36920 last=5a7d052255429909bec768fd/distractor_first closure=1
[2026-05-20T03:05:24.552Z] progress completed=3800/36920 last=5a7353b35542994cef4bc54f/no_support closure=0
[2026-05-20T03:05:40.994Z] progress completed=3900/36920 last=5ac3b4cc554299741d48a2eb/no_support closure=0
[2026-05-20T03:05:57.812Z] progress completed=4000/36920 last=5ae8295955429952e35eaa6d/no_support closure=0
[2026-05-20T03:06:16.680Z] progress completed=4100/36920 last=5a8704f8554299211dda2ba4/no_support closure=0
[2026-05-20T03:06:33.426Z] progress completed=4200/36920 last=5a84a97f5542992a431d1a87/distractor_first closure=1
[2026-05-20T03:06:50.133Z] progress completed=4300/36920 last=5abd245555429924427fcf0f/no_support closure=0
[2026-05-20T03:07:07.780Z] progress completed=4400/36920 last=5a8f43555542992414482a21/no_support closure=0
[2026-05-20T03:07:26.057Z] progress completed=4500/36920 last=5a72b9155542992359bc3187/no_support closure=0
[2026-05-20T03:07:44.071Z] progress completed=4600/36920 last=5adfcb5455429906c02daa48/no_support closure=0
[2026-05-20T03:08:01.233Z] progress completed=4700/36920 last=5abce1fa5542993a06baf993/no_support closure=0
[2026-05-20T03:08:17.638Z] progress completed=4800/36920 last=5a88f0d455429946c8d6e8dc/distractor_first closure=0
[2026-05-20T03:08:33.899Z] progress completed=4900/36920 last=5a734db15542994cef4bc523/bm25_retrieved closure=1
[2026-05-20T03:08:51.606Z] progress completed=5000/36920 last=5abb8e2d554299642a094aa4/distractor_first closure=0
[2026-05-20T03:09:10.220Z] progress completed=5100/36920 last=5ae3df6e5542992e3233c48e/no_support closure=0
[2026-05-20T03:09:27.016Z] progress completed=5200/36920 last=5adc035c554299438c868d04/no_support closure=0
[2026-05-20T03:09:43.435Z] progress completed=5300/36920 last=5a8c4ebf554299585d9e365d/no_support closure=0
[2026-05-20T03:10:03.875Z] progress completed=5400/36920 last=5abdf8c45542993f32c2a072/no_support closure=0
[2026-05-20T03:10:21.166Z] progress completed=5500/36920 last=5ab8627f5542990e739ec8da/no_support closure=0
[2026-05-20T03:10:37.495Z] progress completed=5600/36920 last=5abb207d5542992ccd8e7f1d/no_support closure=0
[2026-05-20T03:10:55.095Z] progress completed=5700/36920 last=5ae3f0c85542995ad6573cb1/no_support closure=0
[2026-05-20T03:11:12.419Z] progress completed=5800/36920 last=5a8f0986554299458435d535/distractor_first closure=0
[2026-05-20T03:11:29.020Z] progress completed=5900/36920 last=5a8f05b1554299458435d517/distractor_first closure=0
[2026-05-20T03:11:45.823Z] progress completed=6000/36920 last=5ab9d7e4554299232ef4a21f/no_support closure=0
[2026-05-20T03:12:03.641Z] progress completed=6100/36920 last=5a89382655429951533612e8/no_support closure=0
[2026-05-20T03:12:21.072Z] progress completed=6200/36920 last=5a8ba67755429971feec4748/no_support closure=0
[2026-05-20T03:12:36.500Z] progress completed=6300/36920 last=5abc1ca15542993a06baf88d/no_support closure=0
[2026-05-20T03:12:54.978Z] progress completed=6400/36920 last=5ae370295542992e3233c402/no_support closure=0
[2026-05-20T03:13:12.758Z] progress completed=6500/36920 last=5a888d535542997e5c09a617/no_support closure=0
[2026-05-20T03:13:29.159Z] progress completed=6600/36920 last=5ae1b53b5542997283cd2255/no_support closure=0
[2026-05-20T03:13:45.694Z] progress completed=6700/36920 last=5ac170af5542994d76dcce20/oracle_first closure=0
[2026-05-20T03:14:04.332Z] progress completed=6800/36920 last=5a7698c2554299373536010d/no_support closure=0
[2026-05-20T03:14:21.750Z] progress completed=6900/36920 last=5a84ee4c5542997175ce1f2b/no_support closure=0
[2026-05-20T03:14:39.242Z] progress completed=7000/36920 last=5ab9d02155429970cfb8ebb0/no_support closure=0
[2026-05-20T03:14:58.812Z] progress completed=7100/36920 last=5a79cabc5542994f819ef0a1/no_support closure=0
[2026-05-20T03:15:17.390Z] progress completed=7200/36920 last=5ab3bd7d55429969a97a819f/no_support closure=0
[2026-05-20T03:15:34.953Z] progress completed=7300/36920 last=5ab67c3f55429954757d32f9/no_support closure=0
[2026-05-20T03:15:53.104Z] progress completed=7400/36920 last=5ae5d0b5554299546bf82f80/no_support closure=0
[2026-05-20T03:16:11.744Z] progress completed=7500/36920 last=5abd6db755429933744ab7d0/no_support closure=0
[2026-05-20T03:16:28.604Z] progress completed=7600/36920 last=5adf39295542992d7e9f92df/distractor_first closure=0
[2026-05-20T03:16:45.277Z] progress completed=7700/36920 last=5adde8a05542997dc79070a4/no_support closure=0
[2026-05-20T03:17:04.404Z] progress completed=7800/36920 last=5add16b65542990d50227dd2/oracle_first closure=1
[2026-05-20T03:17:22.141Z] progress completed=7900/36920 last=5a84d2ea5542992a431d1aa8/no_support closure=0
[2026-05-20T03:17:38.970Z] progress completed=8000/36920 last=5a7774e155429967ab10518d/distractor_first closure=1
[2026-05-20T03:17:55.719Z] progress completed=8100/36920 last=5ab5499e5542992aa134a295/no_support closure=0
[2026-05-20T03:18:15.038Z] progress completed=8200/36920 last=5ae0f8a05542997b2ef7d0bc/oracle_first closure=1
[2026-05-20T03:18:30.840Z] progress completed=8300/36920 last=5ae33c4d5542992f92d82262/no_support closure=0
[2026-05-20T03:18:48.471Z] progress completed=8400/36920 last=5a83d42d5542992ef85e2375/oracle_first closure=1
[2026-05-20T03:19:07.813Z] progress completed=8500/36920 last=5a72abb95542992359bc3162/no_support closure=1
[2026-05-20T03:19:24.263Z] progress completed=8600/36920 last=5a7c6b6655429935c91b519a/no_support closure=0
[2026-05-20T03:19:40.950Z] progress completed=8700/36920 last=5a8d40715542994ba4e3dc3a/no_support closure=0
[2026-05-20T03:19:59.225Z] progress completed=8800/36920 last=5a9023d355429916514e742f/no_support closure=0
[2026-05-20T03:20:16.075Z] progress completed=8900/36920 last=5ac275f155429921a00aaf82/distractor_first closure=0
[2026-05-20T03:20:32.034Z] progress completed=9000/36920 last=5ab997ad554299131ca4238c/no_support closure=0
[2026-05-20T03:20:49.523Z] progress completed=9100/36920 last=5abc184a5542993a06baf863/no_support closure=0
[2026-05-20T03:21:07.538Z] progress completed=9200/36920 last=5ab8ee035542991b5579f04b/no_support closure=0
[2026-05-20T03:21:25.585Z] progress completed=9300/36920 last=5ab299d6554299449642c926/no_support closure=0
[2026-05-20T03:21:42.396Z] progress completed=9400/36920 last=5a875cd65542996e4f30879d/distractor_first closure=0
[2026-05-20T03:22:00.116Z] progress completed=9500/36920 last=5a87aa135542996e4f3088b8/no_support closure=0
[2026-05-20T03:22:17.861Z] progress completed=9600/36920 last=5a8a12ae5542992d82986e92/no_support closure=0
[2026-05-20T03:22:35.483Z] progress completed=9700/36920 last=5adf33b35542993a75d26420/no_support closure=0
[2026-05-20T03:22:53.164Z] progress completed=9800/36920 last=5ae80919554299540e5a56f6/no_support closure=0
[2026-05-20T03:23:11.622Z] progress completed=9900/36920 last=5a85df525542994c784ddb9f/no_support closure=0
[2026-05-20T03:23:28.972Z] progress completed=10000/36920 last=5ac3891f554299741d48a284/no_support closure=0
[2026-05-20T03:23:48.240Z] progress completed=10100/36920 last=5a7302b75542991f9a20c5fd/no_support closure=0
[2026-05-20T03:24:05.974Z] progress completed=10200/36920 last=5a72f7df5542991f9a20c5d7/no_support closure=0
[2026-05-20T03:24:21.568Z] progress completed=10300/36920 last=5a8b2a0355429971feec465b/no_support closure=0
[2026-05-20T03:24:37.965Z] progress completed=10400/36920 last=5ac02835554299294b218f2e/no_support closure=0
[2026-05-20T03:24:54.817Z] progress completed=10500/36920 last=5ae663b05542992ae0d16316/no_support closure=0
[2026-05-20T03:25:12.409Z] progress completed=10600/36920 last=5adbf81a554299438c868cfd/no_support closure=0
[2026-05-20T03:25:30.121Z] progress completed=10700/36920 last=5a7f7c285542994857a76746/no_support closure=0
[2026-05-20T03:25:47.901Z] progress completed=10800/36920 last=5adf043b5542993a75d263d4/no_support closure=0
[2026-05-20T03:26:06.470Z] progress completed=10900/36920 last=5ab928c255429934fafe6e6e/no_support closure=0
[2026-05-20T03:26:23.983Z] progress completed=11000/36920 last=5ae268f35542994d89d5b416/no_support closure=1
[2026-05-20T03:26:40.890Z] progress completed=11100/36920 last=5ab29c24554299449642c932/oracle_first closure=0
[2026-05-20T03:27:00.449Z] progress completed=11200/36920 last=5ac51c2255429924173fb5b4/no_support closure=0
[2026-05-20T03:27:17.539Z] progress completed=11300/36920 last=5a7481d755429974ef308c12/no_support closure=1
[2026-05-20T03:27:35.621Z] progress completed=11400/36920 last=5ae675245542991bbc9760dc/no_support closure=0
[2026-05-20T03:27:53.253Z] progress completed=11500/36920 last=5a88a1e55542997e5c09a64d/no_support closure=0
[2026-05-20T03:28:12.598Z] progress completed=11600/36920 last=5aba768c55429901930fa7e0/distractor_first closure=1
[2026-05-20T03:28:29.499Z] progress completed=11700/36920 last=5ab61cf5554299637185c668/no_support closure=0
[2026-05-20T03:28:46.440Z] progress completed=11800/36920 last=5a72c6f65542994cef4bc402/no_support closure=0
[2026-05-20T03:29:05.869Z] progress completed=11900/36920 last=5a7ca4485542990527d554f1/bm25_retrieved closure=0
[2026-05-20T03:29:24.279Z] progress completed=12000/36920 last=5a8bc3ac5542995e66a47501/no_support closure=1
[2026-05-20T03:29:40.811Z] progress completed=12100/36920 last=5ae13e205542997b2ef7d157/no_support closure=0
[2026-05-20T03:29:57.999Z] progress completed=12200/36920 last=5a8ccceb554299653c1aa128/no_support closure=0
[2026-05-20T03:30:15.690Z] progress completed=12300/36920 last=5adde6535542990dbb2f7ef9/no_support closure=0
[2026-05-20T03:30:32.477Z] progress completed=12400/36920 last=5ac47763554299204fd21f5b/distractor_first closure=1
[2026-05-20T03:30:49.518Z] progress completed=12500/36920 last=5a7b8cc7554299294a54a9ea/no_support closure=1
[2026-05-20T03:31:08.969Z] progress completed=12600/36920 last=5a7cd72055429909bec7683b/no_support closure=0
[2026-05-20T03:31:26.075Z] progress completed=12700/36920 last=5a8e17ce554299653c1aa169/no_support closure=0
[2026-05-20T03:31:43.043Z] progress completed=12800/36920 last=5adf3c155542993a75d2643a/no_support closure=0
[2026-05-20T03:32:01.422Z] progress completed=12900/36920 last=5a86204d5542994775f60709/no_support closure=0
[2026-05-20T03:32:18.845Z] progress completed=13000/36920 last=5ab96d405542996be20204de/no_support closure=0
[2026-05-20T03:32:34.265Z] progress completed=13100/36920 last=5abc553a554299700f9d7871/distractor_first closure=0
[2026-05-20T03:32:51.846Z] progress completed=13200/36920 last=5a8dde01554299653c1aa159/no_support closure=1
[2026-05-20T03:33:11.786Z] progress completed=13300/36920 last=5ac19f405542991316484b5b/no_support closure=0
[2026-05-20T03:33:28.618Z] progress completed=13400/36920 last=5a87a47c5542994846c1cdbd/no_support closure=0
[2026-05-20T03:33:45.229Z] progress completed=13500/36920 last=5ae0819155429924de1b70ea/oracle_first closure=0
[2026-05-20T03:34:03.515Z] progress completed=13600/36920 last=5ade450b5542997c77adedc5/no_support closure=0
[2026-05-20T03:34:21.894Z] progress completed=13700/36920 last=5aba5c625542994dbf0198f2/no_support closure=0
[2026-05-20T03:34:39.020Z] progress completed=13800/36920 last=5a8ef1e35542995a26add57a/no_support closure=0
[2026-05-20T03:34:57.017Z] progress completed=13900/36920 last=5abdce1b5542993062266cfe/no_support closure=0
[2026-05-20T03:35:16.082Z] progress completed=14000/36920 last=5a8f44135542992414482a24/no_support closure=0
[2026-05-20T03:35:32.799Z] progress completed=14100/36920 last=5a84c0885542994c784dda28/no_support closure=0
[2026-05-20T03:35:50.452Z] progress completed=14200/36920 last=5a8b7cb95542995d1e6f13bb/distractor_first closure=0
[2026-05-20T03:36:08.586Z] progress completed=14300/36920 last=5ac3d4b6554299204fd21e93/no_support closure=1
[2026-05-20T03:36:26.172Z] progress completed=14400/36920 last=5a77b6c85542992a6e59df96/no_support closure=0
[2026-05-20T03:36:42.297Z] progress completed=14500/36920 last=5a9068f85542990a98493623/no_support closure=0
[2026-05-20T03:37:01.740Z] progress completed=14600/36920 last=5ab5cdb85542997d4ad1f1e0/no_support closure=1
[2026-05-20T03:37:19.904Z] progress completed=14700/36920 last=5a8720885542991e771816d8/oracle_first closure=0
[2026-05-20T03:37:37.944Z] progress completed=14800/36920 last=5ab502ae5542991779162d4c/no_support closure=0
[2026-05-20T03:37:54.693Z] progress completed=14900/36920 last=5a8a58f355429930ff3c0da3/no_support closure=0
[2026-05-20T03:38:10.833Z] progress completed=15000/36920 last=5ab29ec6554299194fa93473/oracle_first closure=1
[2026-05-20T03:38:29.460Z] progress completed=15100/36920 last=5ae40d405542996836b02c28/no_support closure=0
[2026-05-20T03:38:45.838Z] progress completed=15200/36920 last=5adffb4655429925eb1afbbf/no_support closure=0
[2026-05-20T03:39:04.261Z] progress completed=15300/36920 last=5adc69ef554299438c868daf/oracle_first closure=0
[2026-05-20T03:39:21.391Z] progress completed=15400/36920 last=5a775bab5542994aec3b72a8/no_support closure=0
[2026-05-20T03:39:38.167Z] progress completed=15500/36920 last=5aba5dfd55429955dce3edf0/no_support closure=1
[2026-05-20T03:39:55.530Z] progress completed=15600/36920 last=5abff0645542994516f45539/no_support closure=0
[2026-05-20T03:40:15.093Z] progress completed=15700/36920 last=5a8268aa55429940e5e1a8aa/distractor_first closure=1
[2026-05-20T03:40:32.366Z] progress completed=15800/36920 last=5a75eda35542994ccc918661/no_support closure=0
[2026-05-20T03:40:49.488Z] progress completed=15900/36920 last=5a79258a55429974737f79a8/distractor_first closure=1
[2026-05-20T03:41:09.659Z] progress completed=16000/36920 last=5abbdd6955429931dba145b5/no_support closure=0
[2026-05-20T03:41:28.482Z] progress completed=16100/36920 last=5a8c493e554299653c1aa020/no_support closure=0
[2026-05-20T03:41:45.265Z] progress completed=16200/36920 last=5a76f22055429972597f13fa/no_support closure=0
[2026-05-20T03:42:02.794Z] progress completed=16300/36920 last=5ab42d5755429942dd415eaf/no_support closure=0
[2026-05-20T03:42:20.941Z] progress completed=16400/36920 last=5a7fc41455429969796c1b51/distractor_first closure=1
[2026-05-20T03:42:37.929Z] progress completed=16500/36920 last=5ab4eecb55429942dd415faa/no_support closure=0
[2026-05-20T03:42:56.954Z] progress completed=16600/36920 last=5ac3ce74554299204fd21e71/no_support closure=0
[2026-05-20T03:43:15.185Z] progress completed=16700/36920 last=5ae4cb2f55429960a22e01e8/oracle_first closure=1
[2026-05-20T03:43:32.686Z] progress completed=16800/36920 last=5abe19895542991f661060c2/no_support closure=0
[2026-05-20T03:43:50.346Z] progress completed=16900/36920 last=5abe9b095542991f661061ad/no_support closure=0
[2026-05-20T03:44:06.984Z] progress completed=17000/36920 last=5ab720685542993667793f44/no_support closure=0
[2026-05-20T03:44:24.390Z] progress completed=17100/36920 last=5ac2a288554299657fa28ff5/no_support closure=0
[2026-05-20T03:44:42.076Z] progress completed=17200/36920 last=5ae70c7b5542991bbc9761aa/distractor_first closure=1
[2026-05-20T03:45:00.481Z] progress completed=17300/36920 last=5ae27f22554299495565da8d/no_support closure=0
[2026-05-20T03:45:17.667Z] progress completed=17400/36920 last=5a8a07af55429970aeb70222/no_support closure=0
[2026-05-20T03:45:34.105Z] progress completed=17500/36920 last=5adf400a5542993a75d2644e/no_support closure=0
[2026-05-20T03:45:51.949Z] progress completed=17600/36920 last=5ac272f95542992f1f2b38d3/no_support closure=0
[2026-05-20T03:46:10.545Z] progress completed=17700/36920 last=5a879ba55542993e715abfc3/no_support closure=0
[2026-05-20T03:46:28.417Z] progress completed=17800/36920 last=5ae5c74d554299546bf82f58/no_support closure=0
[2026-05-20T03:46:44.979Z] progress completed=17900/36920 last=5ae3205c55429928c423961e/no_support closure=0
[2026-05-20T03:47:04.482Z] progress completed=18000/36920 last=5a8010685542992bc0c4a69a/no_support closure=0
[2026-05-20T03:47:21.487Z] progress completed=18100/36920 last=5ae0e0125542993d6555ec79/distractor_first closure=0
[2026-05-20T03:47:39.896Z] progress completed=18200/36920 last=5ab46f4e5542991751b4d770/oracle_first closure=1
[2026-05-20T03:47:56.477Z] progress completed=18300/36920 last=5ab5d2fe554299488d4d9a3e/distractor_first closure=1
[2026-05-20T03:48:15.354Z] progress completed=18400/36920 last=5a73c958554299623ed4ac5c/oracle_first closure=0
[2026-05-20T03:48:31.437Z] progress completed=18500/36920 last=5ab84f2c55429934fafe6d54/distractor_first closure=1
[2026-05-20T03:48:49.270Z] progress completed=18600/36920 last=5ae26c795542992decbdccfb/no_support closure=0
[2026-05-20T03:49:08.870Z] progress completed=18700/36920 last=5adec5055542995534e8c707/no_support closure=0
[2026-05-20T03:49:26.046Z] progress completed=18800/36920 last=5a8603f655429960ec39b601/no_support closure=0
[2026-05-20T03:49:43.526Z] progress completed=18900/36920 last=5a7a567255429941d65f25bd/no_support closure=0
[2026-05-20T03:50:01.782Z] progress completed=19000/36920 last=5a7615fb5542992db9473727/oracle_first closure=0
[2026-05-20T03:50:18.624Z] progress completed=19100/36920 last=5ab973b35542996be20204fd/no_support closure=0
[2026-05-20T03:50:36.583Z] progress completed=19200/36920 last=5a746abf55429929fddd8417/oracle_first closure=0
[2026-05-20T03:50:53.990Z] progress completed=19300/36920 last=5ae5c27b554299546bf82f4c/no_support closure=0
[2026-05-20T03:51:12.590Z] progress completed=19400/36920 last=5ab3f6935542992339550019/no_support closure=0
[2026-05-20T03:51:29.730Z] progress completed=19500/36920 last=5aba89d555429901930fa816/no_support closure=0
[2026-05-20T03:51:46.069Z] progress completed=19600/36920 last=5a8ceddb554299441c6b9f85/no_support closure=0
[2026-05-20T03:52:04.631Z] progress completed=19700/36920 last=5aded04755429975fa854fa7/oracle_first closure=0
[2026-05-20T03:52:22.479Z] progress completed=19800/36920 last=5a7319e755429901807daf86/no_support closure=0
[2026-05-20T03:52:40.483Z] progress completed=19900/36920 last=5a7f81425542992097ad2f8e/no_support closure=0
[2026-05-20T03:52:58.198Z] progress completed=20000/36920 last=5ab8688b55429934fafe6daa/no_support closure=0
[2026-05-20T03:53:16.549Z] progress completed=20100/36920 last=5abd578a5542993062266c5d/distractor_first closure=1
[2026-05-20T03:53:32.844Z] progress completed=20200/36920 last=5a736f7c5542991f29ee2e18/distractor_first closure=1
[2026-05-20T03:53:49.307Z] progress completed=20300/36920 last=5adffe7155429906c02daa9e/no_support closure=0
[2026-05-20T03:54:07.830Z] progress completed=20400/36920 last=5ab1e76c554299449642c800/bm25_retrieved closure=1
[2026-05-20T03:54:25.126Z] progress completed=20500/36920 last=5ac0aa955542997d64295a49/no_support closure=0
[2026-05-20T03:54:41.470Z] progress completed=20600/36920 last=5a7f1d3c5542993067513639/no_support closure=0
[2026-05-20T03:54:59.059Z] progress completed=20700/36920 last=5ae603a65542996de7b71af3/no_support closure=0
[2026-05-20T03:55:16.336Z] progress completed=20800/36920 last=5abc0bea554299658360040d/distractor_first closure=0
[2026-05-20T03:55:33.212Z] progress completed=20900/36920 last=5abd5b0355429933744ab789/distractor_first closure=0
[2026-05-20T03:55:49.910Z] progress completed=21000/36920 last=5ac07327554299012d1db5f2/no_support closure=0
[2026-05-20T03:56:06.312Z] progress completed=21100/36920 last=5a72ba1a5542992359bc318b/distractor_first closure=0
[2026-05-20T03:56:22.265Z] progress completed=21200/36920 last=5a7cb8bc554299452d57b9be/no_support closure=0
[2026-05-20T03:56:39.172Z] progress completed=21300/36920 last=5a730abe5542994cef4bc42f/distractor_first closure=1
[2026-05-20T03:56:55.655Z] progress completed=21400/36920 last=5a8b91d25542995d1e6f13fc/no_support closure=0
[2026-05-20T03:57:14.073Z] progress completed=21500/36920 last=5ae226bd5542994d89d5b379/bm25_retrieved closure=1
[2026-05-20T03:57:31.520Z] progress completed=21600/36920 last=5ae06ee755429945ae959352/no_support closure=0
[2026-05-20T03:57:47.599Z] progress completed=21700/36920 last=5ac524e55542994611c8b3d0/no_support closure=0
[2026-05-20T03:58:06.503Z] progress completed=21800/36920 last=5ae69cfe55429908198fa65f/distractor_first closure=1
[2026-05-20T03:58:25.164Z] progress completed=21900/36920 last=5abfea825542994516f45527/no_support closure=0
[2026-05-20T03:58:42.214Z] progress completed=22000/36920 last=5a7f5ab65542995d8a8dde43/no_support closure=0
[2026-05-20T03:59:00.243Z] progress completed=22100/36920 last=5ac00278554299012d1db56b/no_support closure=0
[2026-05-20T03:59:18.444Z] progress completed=22200/36920 last=5ae15ae25542990adbacf767/no_support closure=0
[2026-05-20T03:59:34.610Z] progress completed=22300/36920 last=5a86f2fb554299211dda2b64/no_support closure=1
[2026-05-20T03:59:52.353Z] progress completed=22400/36920 last=5ab726415542993667793f52/oracle_first closure=0
[2026-05-20T04:00:10.249Z] progress completed=22500/36920 last=5addb1515542995b365fab60/no_support closure=0
[2026-05-20T04:00:28.804Z] progress completed=22600/36920 last=5a868ca055429960ec39b6be/no_support closure=0
[2026-05-20T04:00:45.479Z] progress completed=22700/36920 last=5a7c99705542990527d554de/no_support closure=0
[2026-05-20T04:01:04.694Z] progress completed=22800/36920 last=5ab45bcd5542991779162c80/no_support closure=0
[2026-05-20T04:01:23.559Z] progress completed=22900/36920 last=5ae402085542995dadf242ca/no_support closure=0
[2026-05-20T04:01:40.324Z] progress completed=23000/36920 last=5abc715f5542993a06baf8ea/no_support closure=0
[2026-05-20T04:01:57.758Z] progress completed=23100/36920 last=5abaa954554299232ef4a362/oracle_first closure=0
[2026-05-20T04:02:14.875Z] progress completed=23200/36920 last=5ae72e79554299572ea54763/no_support closure=0
[2026-05-20T04:02:31.589Z] progress completed=23300/36920 last=5adf72335542992d7e9f935f/no_support closure=0
[2026-05-20T04:02:48.306Z] progress completed=23400/36920 last=5ae2070a5542994d89d5b313/no_support closure=0
[2026-05-20T04:03:06.675Z] progress completed=23500/36920 last=5ab271fe554299449642c8a6/no_support closure=0
[2026-05-20T04:03:25.106Z] progress completed=23600/36920 last=5a7f38e255429930675136b6/distractor_first closure=0
[2026-05-20T04:03:42.909Z] progress completed=23700/36920 last=5adf17f95542995ec70e8f6c/no_support closure=0
[2026-05-20T04:04:03.663Z] progress completed=23800/36920 last=5a7415cf55429979e28828a6/oracle_first closure=0
[2026-05-20T04:04:20.710Z] progress completed=23900/36920 last=5ab7f0995542995dae37e9fb/no_support closure=0
[2026-05-20T04:04:38.369Z] progress completed=24000/36920 last=5a8f6e295542992414482ac6/no_support closure=0
[2026-05-20T04:04:56.796Z] progress completed=24100/36920 last=5abcd77755429965836004ce/no_support closure=0
[2026-05-20T04:05:15.414Z] progress completed=24200/36920 last=5ac0fd56554299012d1db679/no_support closure=0
[2026-05-20T04:05:31.854Z] progress completed=24300/36920 last=5ab84c6955429916710eb021/no_support closure=0
[2026-05-20T04:05:49.271Z] progress completed=24400/36920 last=5ae12a4b55429920d52342df/no_support closure=0
[2026-05-20T04:06:07.370Z] progress completed=24500/36920 last=5a835a265542992ef85e2281/no_support closure=0
[2026-05-20T04:06:23.541Z] progress completed=24600/36920 last=5ae058e855429945ae959331/no_support closure=0
[2026-05-20T04:06:39.994Z] progress completed=24700/36920 last=5ae15d70554299422ee9966f/distractor_first closure=0
