[2026-05-20T02:23:06.286Z] REALRAG_R1_START model=local-vllm endpoint=http://192.168.15.133:11435/v1/chat/completions limit=2000 concurrency=2
[2026-05-20T02:23:06.882Z] dataset_loaded records=7405 sha256=4e9ecb5c8d3b719f624d66b60f8d56bf227f03914f5f0753d6fa1b359d7104ea
[2026-05-20T02:29:25.567Z] progress completed=2200/9955 last=5ade157e55429939a52fe802/no_support closure=0
[2026-05-20T02:29:32.922Z] progress completed=2250/9955 last=5a7337715542991f9a20c690/no_support closure=0
[2026-05-20T02:29:41.444Z] progress completed=2300/9955 last=5ae824295542997ec272772f/no_support closure=0
[2026-05-20T02:29:50.463Z] progress completed=2350/9955 last=5a8f541e5542992414482a53/no_support closure=0
[2026-05-20T02:29:59.386Z] progress completed=2400/9955 last=5a8a6a2155429930ff3c0dd0/no_support closure=0
[2026-05-20T02:30:08.393Z] progress completed=2450/9955 last=5add64e35542992200553ae8/no_support closure=0
[2026-05-20T02:30:16.203Z] progress completed=2500/9955 last=5a84fd085542994c784ddaba/distractor_first closure=0
[2026-05-20T02:30:25.490Z] progress completed=2550/9955 last=5ac3c10a554299204fd21e33/oracle_first closure=0
[2026-05-20T02:30:33.786Z] progress completed=2600/9955 last=5a835e215542992ef85e2296/oracle_first closure=0
[2026-05-20T02:30:41.556Z] progress completed=2650/9955 last=5a864d9e5542994775f6073d/no_support closure=0
[2026-05-20T02:30:50.851Z] progress completed=2700/9955 last=5a78a84d554299148911f8fd/no_support closure=0
[2026-05-20T02:31:00.232Z] progress completed=2750/9955 last=5ab94bc2554299743d22eacf/no_support closure=0
[2026-05-20T02:31:09.515Z] progress completed=2800/9955 last=5add3acb5542990dbb2f7ddc/no_support closure=0
[2026-05-20T02:31:18.845Z] progress completed=2850/9955 last=5a776a7055429966f1a36d32/oracle_first closure=0
[2026-05-20T02:31:26.001Z] progress completed=2900/9955 last=5ae7690c5542995703ce8c22/no_support closure=0
[2026-05-20T02:31:34.818Z] progress completed=2950/9955 last=5add23d05542994734353871/no_support closure=0
[2026-05-20T02:31:42.969Z] progress completed=3000/9955 last=5ade03c65542990dbb2f7f2e/no_support closure=0
[2026-05-20T02:31:51.504Z] progress completed=3050/9955 last=5a7a8a9c554299042af8f666/no_support closure=0
[2026-05-20T02:31:59.988Z] progress completed=3100/9955 last=5adf9d135542995534e8c817/no_support closure=0
[2026-05-20T02:32:09.117Z] progress completed=3150/9955 last=5ab28a87554299449642c8ec/no_support closure=0
[2026-05-20T02:32:16.948Z] progress completed=3200/9955 last=5a83880e554299123d8c214e/oracle_first closure=0
[2026-05-20T02:32:24.402Z] progress completed=3250/9955 last=5abca6375542993a06baf946/no_support closure=0
[2026-05-20T02:32:32.755Z] progress completed=3300/9955 last=5a8a07725542992d82986e5b/oracle_first closure=0
[2026-05-20T02:32:41.015Z] progress completed=3350/9955 last=5ab510cb5542996a3a96a00f/no_support closure=0
[2026-05-20T02:32:49.932Z] progress completed=3400/9955 last=5a81a4335542990a1d231e38/no_support closure=1
[2026-05-20T02:32:59.746Z] progress completed=3450/9955 last=5a820f2f554299676cceb1ff/no_support closure=0
[2026-05-20T02:33:08.646Z] progress completed=3500/9955 last=5a7dafe15542991319bc93f3/no_support closure=0
[2026-05-20T02:33:18.197Z] progress completed=3550/9955 last=5adde3a45542997545bbbdc2/no_support closure=0
[2026-05-20T02:33:26.953Z] progress completed=3600/9955 last=5ae45adc55429970de88d93f/no_support closure=0
[2026-05-20T02:33:36.263Z] progress completed=3650/9955 last=5a8f92fb55429918e830d271/bm25_retrieved closure=0
[2026-05-20T02:33:44.681Z] progress completed=3700/9955 last=5a7d052255429909bec768fd/distractor_first closure=1
[2026-05-20T02:33:54.433Z] progress completed=3750/9955 last=5a8563c05542997b5ce3fff4/no_support closure=0
[2026-05-20T02:34:04.026Z] progress completed=3800/9955 last=5a7353b35542994cef4bc54f/no_support closure=0
[2026-05-20T02:34:13.791Z] progress completed=3850/9955 last=5a74a62b55429916b01641a0/no_support closure=0
[2026-05-20T02:34:21.532Z] progress completed=3900/9955 last=5ac3b4cc554299741d48a2eb/no_support closure=0
[2026-05-20T02:34:29.781Z] progress completed=3950/9955 last=5a727a635542994cef4bc2c9/no_support closure=0
[2026-05-20T02:34:37.604Z] progress completed=4000/9955 last=5ae8295955429952e35eaa6d/no_support closure=0
[2026-05-20T02:34:46.613Z] progress completed=4050/9955 last=5ae0b7cf554299603e418446/no_support closure=0
[2026-05-20T02:34:56.705Z] progress completed=4100/9955 last=5a8704f8554299211dda2ba4/no_support closure=0
[2026-05-20T02:35:05.739Z] progress completed=4150/9955 last=5a750d315542996c70cfae84/no_support closure=0
[2026-05-20T02:35:15.349Z] progress completed=4200/9955 last=5ae0c9dd5542993d6555ec69/oracle_first closure=0
[2026-05-20T02:35:23.207Z] progress completed=4250/9955 last=5ab2acbc55429929539467d2/no_support closure=0
[2026-05-20T02:35:31.703Z] progress completed=4300/9955 last=5abd245555429924427fcf0f/no_support closure=0
[2026-05-20T02:35:39.952Z] progress completed=4350/9955 last=5abcefc45542993a06baf9b4/distractor_first closure=1
[2026-05-20T02:35:48.393Z] progress completed=4400/9955 last=5a8f43555542992414482a21/no_support closure=0
[2026-05-20T02:35:57.268Z] progress completed=4450/9955 last=5adf3a4f5542992d7e9f92ec/no_support closure=1
[2026-05-20T02:36:07.218Z] progress completed=4500/9955 last=5a72b9155542992359bc3187/no_support closure=0
[2026-05-20T02:36:17.016Z] progress completed=4550/9955 last=5ae8189655429952e35eaa11/no_support closure=0
[2026-05-20T02:36:25.495Z] progress completed=4600/9955 last=5adfcb5455429906c02daa48/no_support closure=0
[2026-05-20T02:36:34.308Z] progress completed=4650/9955 last=5a87ab905542996e4f3088c1/distractor_first closure=0
[2026-05-20T02:36:41.906Z] progress completed=4700/9955 last=5abce1fa5542993a06baf993/no_support closure=0
[2026-05-20T02:36:50.800Z] progress completed=4750/9955 last=5ab5d27a554299494045f073/no_support closure=0
[2026-05-20T02:36:59.146Z] progress completed=4800/9955 last=5a88f0d455429946c8d6e8dc/no_support closure=0
[2026-05-20T02:37:08.745Z] progress completed=4850/9955 last=5a7f10e2554299306751360b/no_support closure=0
[2026-05-20T02:37:16.962Z] progress completed=4900/9955 last=5a734db15542994cef4bc523/bm25_retrieved closure=1
[2026-05-20T02:37:26.015Z] progress completed=4950/9955 last=5a86ec9f55429960ec39b6d7/distractor_first closure=1
[2026-05-20T02:37:34.159Z] progress completed=5000/9955 last=5abb8e2d554299642a094aa4/distractor_first closure=0
[2026-05-20T02:37:42.590Z] progress completed=5050/9955 last=5abb9928554299642a094ab9/no_support closure=0
[2026-05-20T02:37:51.524Z] progress completed=5100/9955 last=5ae3df6e5542992e3233c48e/no_support closure=0
[2026-05-20T02:37:59.848Z] progress completed=5150/9955 last=5a8cc7af554299653c1aa11e/no_support closure=1
[2026-05-20T02:38:08.511Z] progress completed=5200/9955 last=5adc035c554299438c868d04/no_support closure=0
[2026-05-20T02:38:16.985Z] progress completed=5250/9955 last=5adbf44355429944faac23ce/no_support closure=0
[2026-05-20T02:38:25.026Z] progress completed=5300/9955 last=5a8c4ebf554299585d9e365d/no_support closure=0
[2026-05-20T02:38:34.423Z] progress completed=5350/9955 last=5a7a1d305542990783324e66/no_support closure=0
[2026-05-20T02:38:43.605Z] progress completed=5400/9955 last=5abdf8c45542993f32c2a072/no_support closure=0
[2026-05-20T02:38:52.303Z] progress completed=5450/9955 last=5a81b43d5542995ce29dcc39/no_support closure=0
[2026-05-20T02:39:01.604Z] progress completed=5500/9955 last=5ab8627f5542990e739ec8da/no_support closure=0
[2026-05-20T02:39:11.512Z] progress completed=5550/9955 last=5ab6e848554299710c8d1faa/bm25_retrieved closure=1
[2026-05-20T02:39:19.672Z] progress completed=5600/9955 last=5abb207d5542992ccd8e7f1d/no_support closure=0
[2026-05-20T02:39:27.500Z] progress completed=5650/9955 last=5a7eb8f655429934daa2fc50/no_support closure=0
[2026-05-20T02:39:36.791Z] progress completed=5700/9955 last=5ae3f0c85542995ad6573cb1/no_support closure=0
[2026-05-20T02:39:44.700Z] progress completed=5750/9955 last=5a7ab1b055429927d897bef4/no_support closure=1
[2026-05-20T02:39:53.793Z] progress completed=5800/9955 last=5a8f0986554299458435d535/distractor_first closure=0
[2026-05-20T02:40:02.809Z] progress completed=5850/9955 last=5a90c8165542995651fb51ee/no_support closure=0
[2026-05-20T02:40:12.085Z] progress completed=5900/9955 last=5a8f05b1554299458435d517/distractor_first closure=0
[2026-05-20T02:40:20.679Z] progress completed=5950/9955 last=5ae779a555429952e35ea931/oracle_first closure=1
[2026-05-20T02:40:29.138Z] progress completed=6000/9955 last=5ab9d7e4554299232ef4a21f/no_support closure=0
[2026-05-20T02:40:36.913Z] progress completed=6050/9955 last=5a89bbb05542992e4fca83a3/no_support closure=0
[2026-05-20T02:40:46.377Z] progress completed=6100/9955 last=5a89382655429951533612e8/no_support closure=0
[2026-05-20T02:40:56.096Z] progress completed=6150/9955 last=5a72830e5542994cef4bc2f9/no_support closure=0
[2026-05-20T02:41:05.635Z] progress completed=6200/9955 last=5a8ba67755429971feec4748/distractor_first closure=0
[2026-05-20T02:41:14.117Z] progress completed=6250/9955 last=5ab7f7465542993667794071/distractor_first closure=0
[2026-05-20T02:41:22.270Z] progress completed=6300/9955 last=5abc1ca15542993a06baf88d/no_support closure=0
[2026-05-20T02:41:30.591Z] progress completed=6350/9955 last=5a8dafbd554299068b959da0/no_support closure=0
[2026-05-20T02:41:39.952Z] progress completed=6400/9955 last=5ae370295542992e3233c402/no_support closure=0
[2026-05-20T02:41:48.277Z] progress completed=6450/9955 last=5ab5de535542992aa134a3b6/no_support closure=0
[2026-05-20T02:41:56.361Z] progress completed=6500/9955 last=5a888d535542997e5c09a617/distractor_first closure=0
[2026-05-20T02:42:05.185Z] progress completed=6550/9955 last=5ae0c29c5542993d6555ec46/no_support closure=0
[2026-05-20T02:42:13.551Z] progress completed=6600/9955 last=5ae1b53b5542997283cd2255/no_support closure=0
[2026-05-20T02:42:21.847Z] progress completed=6650/9955 last=5a88a4245542997e5c09a668/bm25_retrieved closure=1
[2026-05-20T02:42:29.981Z] progress completed=6700/9955 last=5ac170af5542994d76dcce20/oracle_first closure=0
[2026-05-20T02:42:38.291Z] progress completed=6750/9955 last=5ac173d85542994d76dcce37/no_support closure=0
[2026-05-20T02:42:48.110Z] progress completed=6800/9955 last=5a7698c2554299373536010d/no_support closure=0
[2026-05-20T02:42:57.175Z] progress completed=6850/9955 last=5abc40835542993a06baf8ba/no_support closure=0
[2026-05-20T02:43:06.898Z] progress completed=6900/9955 last=5a84ee4c5542997175ce1f2b/no_support closure=0
[2026-05-20T02:43:15.968Z] progress completed=6950/9955 last=5a80e47d55429938b6142238/no_support closure=0
[2026-05-20T02:43:25.674Z] progress completed=7000/9955 last=5ab9d02155429970cfb8ebb0/no_support closure=0
[2026-05-20T02:43:34.502Z] progress completed=7050/9955 last=5ab2a308554299340b52553b/no_support closure=0
[2026-05-20T02:43:44.110Z] progress completed=7100/9955 last=5a79cabc5542994f819ef0a1/no_support closure=0
[2026-05-20T02:43:53.160Z] progress completed=7150/9955 last=5a8f45ca5542997ba9cb320e/no_support closure=1
[2026-05-20T02:44:02.161Z] progress completed=7200/9955 last=5ab3bd7d55429969a97a819f/no_support closure=0
[2026-05-20T02:44:11.161Z] progress completed=7250/9955 last=5abc6d14554299700f9d78bf/no_support closure=0
[2026-05-20T02:44:20.127Z] progress completed=7300/9955 last=5ab67c3f55429954757d32f9/no_support closure=0
[2026-05-20T02:44:28.016Z] progress completed=7350/9955 last=5ab5e13c5542992aa134a3bf/no_support closure=0
[2026-05-20T02:44:37.352Z] progress completed=7400/9955 last=5ae5d0b5554299546bf82f80/no_support closure=0
[2026-05-20T02:44:46.297Z] progress completed=7450/9955 last=5add016e5542992c1e3a250b/no_support closure=0
[2026-05-20T02:44:55.479Z] progress completed=7500/9955 last=5abd6db755429933744ab7d0/no_support closure=0
[2026-05-20T02:45:05.486Z] progress completed=7550/9955 last=5abbe09d55429931dba145c0/no_support closure=0
[2026-05-20T02:45:14.168Z] progress completed=7600/9955 last=5adf39295542992d7e9f92df/no_support closure=0
[2026-05-20T02:45:22.748Z] progress completed=7650/9955 last=5a7bacf35542997c3ec9724b/no_support closure=0
[2026-05-20T02:45:31.221Z] progress completed=7700/9955 last=5adde8a05542997dc79070a4/distractor_first closure=0
[2026-05-20T02:45:39.674Z] progress completed=7750/9955 last=5a7c66d555429935c91b518f/no_support closure=0
[2026-05-20T02:45:49.365Z] progress completed=7800/9955 last=5add16b65542990d50227dd2/oracle_first closure=1
[2026-05-20T02:45:59.778Z] progress completed=7850/9955 last=5ae76e615542997ec2727647/no_support closure=0
[2026-05-20T02:46:08.264Z] progress completed=7900/9955 last=5a84d2ea5542992a431d1aa8/no_support closure=0
[2026-05-20T02:46:17.424Z] progress completed=7950/9955 last=5a8f53ad5542992414482a50/distractor_first closure=0
[2026-05-20T02:46:25.650Z] progress completed=8000/9955 last=5a7774e155429967ab10518d/distractor_first closure=1
[2026-05-20T02:46:33.249Z] progress completed=8050/9955 last=5ac16c2b5542994d76dcce19/no_support closure=0
[2026-05-20T02:46:41.815Z] progress completed=8100/9955 last=5ab5499e5542992aa134a295/no_support closure=0
[2026-05-20T02:46:51.418Z] progress completed=8150/9955 last=5a8763475542996e4f3087c0/no_support closure=0
[2026-05-20T02:47:01.484Z] progress completed=8200/9955 last=5ae0f8a05542997b2ef7d0bc/oracle_first closure=1
[2026-05-20T02:47:10.466Z] progress completed=8250/9955 last=5ac1ff2255429964131be2b3/distractor_first closure=1
[2026-05-20T02:47:18.885Z] progress completed=8300/9955 last=5ae33c4d5542992f92d82262/no_support closure=0
[2026-05-20T02:47:27.366Z] progress completed=8350/9955 last=5abfad3c5542990832d3a197/no_support closure=0
[2026-05-20T02:47:36.579Z] progress completed=8400/9955 last=5add60905542995b365fab1d/no_support closure=0
[2026-05-20T02:47:45.349Z] progress completed=8450/9955 last=5a7b3ec95542995eb53be8d3/distractor_first closure=0
[2026-05-20T02:47:54.673Z] progress completed=8500/9955 last=5a72abb95542992359bc3162/no_support closure=1
[2026-05-20T02:48:02.674Z] progress completed=8550/9955 last=5ab8f53355429916710eb0d1/distractor_first closure=1
[2026-05-20T02:48:11.920Z] progress completed=8600/9955 last=5a7c6b6655429935c91b519a/no_support closure=0
[2026-05-20T02:48:21.126Z] progress completed=8650/9955 last=5a78f89055429974737f792b/no_support closure=0
[2026-05-20T02:48:28.508Z] progress completed=8700/9955 last=5a8d40715542994ba4e3dc3a/no_support closure=0
[2026-05-20T02:48:37.638Z] progress completed=8750/9955 last=5ab811e95542995dae37ea22/no_support closure=0
[2026-05-20T02:48:46.085Z] progress completed=8800/9955 last=5a9023d355429916514e742f/no_support closure=0
[2026-05-20T02:48:55.066Z] progress completed=8850/9955 last=5a7a6c1a5542994f819ef1d5/no_support closure=0
[2026-05-20T02:49:03.808Z] progress completed=8900/9955 last=5ac275f155429921a00aaf82/distractor_first closure=0
[2026-05-20T02:49:12.725Z] progress completed=8950/9955 last=5a73987c55429978a71e9039/no_support closure=0
[2026-05-20T02:49:21.268Z] progress completed=9000/9955 last=5ab997ad554299131ca4238c/no_support closure=0
[2026-05-20T02:49:30.259Z] progress completed=9050/9955 last=5a79f04d5542996c55b2dca7/no_support closure=1
[2026-05-20T02:49:38.861Z] progress completed=9100/9955 last=5abc184a5542993a06baf863/no_support closure=0
[2026-05-20T02:49:47.389Z] progress completed=9150/9955 last=5a832a625542990548d0b1b4/bm25_retrieved closure=1
[2026-05-20T02:49:56.175Z] progress completed=9200/9955 last=5ab8ee035542991b5579f04b/no_support closure=0
[2026-05-20T02:50:05.071Z] progress completed=9250/9955 last=5a8e0a005542995085b373a1/no_support closure=0
[2026-05-20T02:50:14.485Z] progress completed=9300/9955 last=5ab299d6554299449642c926/no_support closure=0
[2026-05-20T02:50:22.619Z] progress completed=9350/9955 last=5a80be9655429938b61421b5/distractor_first closure=1
[2026-05-20T02:50:31.070Z] progress completed=9400/9955 last=5a875cd65542996e4f30879d/distractor_first closure=0
[2026-05-20T02:50:39.061Z] progress completed=9450/9955 last=5a8fae205542997ba9cb32ec/no_support closure=0
[2026-05-20T02:50:47.699Z] progress completed=9500/9955 last=5a87aa135542996e4f3088b8/no_support closure=0
[2026-05-20T02:50:57.256Z] progress completed=9550/9955 last=5adf9f6c5542992d7e9f93c2/no_support closure=0
[2026-05-20T02:51:06.050Z] progress completed=9600/9955 last=5a8a12ae5542992d82986e92/no_support closure=0
[2026-05-20T02:51:15.236Z] progress completed=9650/9955 last=5ae81060554299540e5a572c/no_support closure=0
[2026-05-20T02:51:24.726Z] progress completed=9700/9955 last=5adf33b35542993a75d26420/no_support closure=0
[2026-05-20T02:51:33.432Z] progress completed=9750/9955 last=5ae52c0f5542992663a4f12e/no_support closure=1
[2026-05-20T02:51:42.201Z] progress completed=9800/9955 last=5a8c4c5f554299585d9e3651/oracle_first closure=1
[2026-05-20T02:51:51.128Z] progress completed=9850/9955 last=5a7b1c745542992d025e6777/bm25_retrieved closure=0
[2026-05-20T02:52:00.734Z] progress completed=9900/9955 last=5a85df525542994c784ddb9f/no_support closure=0
[2026-05-20T02:52:10.321Z] progress completed=9950/9955 last=5a7adaa35542992d025e670c/no_support closure=0
[2026-05-20T02:52:11.396Z] progress completed=9955/9955 last=5a84cf175542992a431d1aa2/no_support closure=0
[2026-05-20T02:52:11.734Z] REALRAG_R1_DONE completed=9955/9955
